"#","Game","Release date","Price","Userscore (Metascore)","Owners","Playtime (Median)"
"315","Elder Sign: Omens","Nov 27, 2013","$14.99","N/A (N/A)","8,373 ±2,337","08:10 (05:50)"
"426","Barbie Dreamhouse Party","Nov 19, 2013","$9.99","N/A (N/A)","7,861 ±2,264","15:05 (02:38)"
"431","Dungeon Dashers","Oct 25, 2013","$9.99","N/A (N/A)","7,861 ±2,264","01:57 (01:12)"
"268","MUD - FIM Motocross World Championship","Feb 26, 2013","$9.99","N/A (N/A)","7,519 ±2,215","02:33 (00:56)"
"441","Urban Chaos","Oct 15, 2013","$6.99","N/A (N/A)","7,519 ±2,215","00:46 (00:32)"
"278","Driver Fusion Premium","May 6, 2013","$39.99","N/A (N/A)","7,348 ±2,189","29:04 (02:35)"
"403","Assault Android Cactus","Aug 28, 2013","$14.99","N/A (N/A)","7,177 ±2,164","16:07 (02:08)"
"456","Space Ace","Aug 27, 2013","$9.99","N/A (N/A)","6,835 ±2,112","00:27 (00:22)"
"517","Deathtrap Dungeon","Oct 3, 2013","$6.99","N/A (N/A)","6,835 ±2,112","00:31 (00:37)"
"291","The Game of Life","Jun 10, 2013","$9.99","N/A (N/A)","6,494 ±2,058","01:42 (01:05)"
"527","Virtual DJ","Mar 7, 2013","$49.99","N/A (N/A)","6,494 ±2,058","42:32 (04:35)"
"220","Signal Ops","Nov 18, 2013","$2.99","N/A (61%)","6,323 ±2,031","01:24 (01:18)"
"522","Nancy Drew: Ghost of Thornton Hall","May 14, 2013","$19.99","N/A (N/A)","6,323 ±2,031","08:08 (09:58)"
"327","Dragon's Lair 2: Time Warp","Oct 24, 2013","$9.99","N/A (N/A)","5,981 ±1,975","00:27 (00:28)"
"524","Cut the Rope","Mar 22, 2013","$4.99","N/A (N/A)","5,639 ±1,918","02:07 (01:43)"
"290","PCMark 8","Oct 21, 2013","$49.99","N/A (N/A)","4,956 ±1,798","31:07 (04:34)"
"318","RaySupreme 3D","Dec 16, 2013","$39.99","N/A (N/A)","4,614 ±1,735","02:28 (01:32)"
"461","Z3TA+ 2","Sep 9, 2013","$99.99","N/A (N/A)","4,614 ±1,735","01:59 (00:52)"
"247","Hexodius","Jun 21, 2013","$9.99","N/A (47%)","4,443 ±1,702","04:38 (02:13)"
"293","Adventure Time: Explore the Dungeon Because I DONT KNOW!","Nov 19, 2013","$39.99","N/A (N/A)","4,443 ±1,702","04:51 (03:58)"
"272","articy:draft SE","Feb 27, 2013","$99.99","N/A (N/A)","4,272 ±1,669","50:07 (16:50)"
"516","LogoMaker 4","Dec 4, 2013","$29.99","N/A (N/A)","3,930 ±1,601","05:10 (04:03)"
"335","Songs2See Game","Nov 26, 2013","$19.99","N/A (N/A)","3,418 ±1,493","01:26 (00:59)"
"367","Young Justice: Legacy","Nov 19, 2013","$9.99","N/A (N/A)","3,076 ±1,416","05:35 (06:43)"
"301","Cranky Cat","Jun 5, 2013","$2.99","N/A (N/A)","2,563 ±1,293","01:12 (01:45)"
"385","Battleship","Jun 10, 2013","$9.99","N/A (N/A)","2,563 ±1,293","02:29 (01:54)"
"518","Aartform Curvy 3D 3.0","Nov 12, 2013","$99.99","N/A (N/A)","2,563 ±1,293","02:25 (01:08)"
"348","Who Wants To Be A Millionaire: Special Editions","Oct 17, 2013","$9.99","N/A (N/A)","2,051 ±1,156","13:43 (19:38)"
"413","Spaceforce Constellations","Dec 12, 2013","$9.99","N/A (N/A)","2,051 ±1,156","01:29 (01:31)"
"358","Scrabble","Jun 10, 2013","$9.99","N/A (N/A)","2,029 ±1,403","804:21 (331:15)"
"419","MovieWriterPro","Dec 3, 2013","$29.99","N/A (N/A)","1,775 ±1,312","14:26 (33:59)"
"554","Hot Wheels World's Best Driver","Sep 17, 2013","$19.99","N/A (N/A)","1,709 ±1,056","05:20 (06:48)"
"569","Songs2See Editor","Nov 26, 2013","$19.99","N/A (N/A)","1,709 ±1,056","03:20 (03:46)"
"395","Steel Storm: A.M.M.O.","Sep 25, 2013","$9.99","N/A (N/A)","1,538 ±1,001","00:25 (00:34)"
"391","Mosaico","Nov 26, 2013","$19.99","N/A (N/A)","1,015 ±992","247:01 (370:30)"
"274","Darkfall Unholy Wars","Apr 25, 2013","$14.95","46% (N/A)","684 ±667","08:14 (10:54)"
